ATG,LPS,chitin,elf,flg,nlp,OGs,pep
AT1G14000,0,0,1,1,0,0,0
AT1G14010,0,0,1,1,0,0,0
AT1G14040,0,1,1,1,1,1,1
AT1G14170,0,0,1,1,1,0,1
AT1G14200,1,1,1,1,1,1,1
AT1G14260,0,1,1,1,1,1,1
AT1G14330,0,0,1,1,1,0,1
AT1G14360,0,0,1,1,1,1,1
AT1G14370,1,1,1,1,1,1,1
AT1G14400,0,0,0,1,0,0,0
AT1G14420,0,0,0,0,1,0,0
AT1G14455,0,0,1,1,0,0,0
AT1G14480,0,1,1,1,1,1,1
AT1G14510,0,0,0,1,0,0,0
AT1G14530,0,0,0,0,0,1,0
AT1G14540,1,1,1,1,1,1,1
AT1G14550,1,1,1,1,1,1,1
AT1G14560,0,0,1,0,0,0,0
AT1G14640,0,0,1,1,1,1,1
AT1G14642,0,0,1,1,1,0,1
AT1G14650,0,0,0,1,0,0,0
AT1G14680,0,0,0,1,0,0,0
AT1G14730,0,0,1,1,1,0,0
AT1G14740,0,1,1,1,1,1,1
AT1G14780,0,1,1,1,0,1,1
AT1G14860,0,0,0,0,0,0,1
AT1G14870,1,1,1,1,1,1,1
AT1G14880,0,0,0,0,1,0,0
AT1G15010,0,0,1,1,1,1,0
AT1G15030,0,0,1,1,0,0,1
AT1G15040,0,0,0,1,0,1,1
AT1G15110,0,0,0,0,1,0,1
AT1G15125,0,0,0,1,1,0,1
AT1G15190,0,0,1,1,1,1,1
AT1G15330,0,0,0,0,0,0,1
AT1G15350,0,0,1,1,1,0,0
AT1G15370,0,0,0,1,0,0,0
AT1G15385,0,0,0,1,0,0,1
AT1G15400,0,0,0,1,1,0,0
AT1G15415,0,0,1,1,1,1,1
AT1G15430,0,1,1,1,1,1,1
AT1G15520,1,1,1,1,1,1,1
AT1G15530,0,0,1,1,1,1,1
AT1G15540,0,0,0,1,1,0,1
AT1G15580,0,0,1,0,0,0,1
AT1G15640,0,1,0,1,0,0,1
AT1G15670,0,0,1,1,1,1,1
AT1G15790,0,0,1,1,1,1,1
AT1G15800,0,0,1,1,1,1,1
AT1G15880,0,0,1,1,0,0,1
AT1G15885,0,0,1,1,0,1,1
AT1G15890,1,1,1,1,1,1,1
AT1G15900,0,0,1,1,1,1,0
AT1G15950,0,0,1,1,0,0,0
AT1G16090,1,1,1,1,1,1,1
AT1G16110,1,1,1,1,1,1,1
AT1G16120,1,1,1,1,1,1,1
AT1G16130,1,1,1,1,1,1,1
AT1G16140,0,0,0,1,1,1,0
AT1G16150,1,1,1,1,1,1,1
AT1G16160,1,1,1,1,1,1,1
AT1G16210,0,0,0,1,0,0,0
AT1G16220,0,0,0,0,0,0,1
AT1G16240,0,0,1,1,0,0,0
AT1G16260,0,0,1,1,0,0,1
AT1G16300,0,0,0,0,1,0,0
AT1G16370,0,0,1,0,0,0,1
AT1G16420,1,1,1,1,1,1,1
AT1G16480,0,0,0,1,0,0,0
AT1G16500,0,0,0,0,1,1,1
AT1G16520,0,0,0,0,1,0,0
AT1G16540,0,0,1,1,1,0,1
AT1G16640,0,1,1,1,1,1,1
AT1G16670,1,1,1,1,1,1,1
AT1G17020,0,0,0,0,1,1,1
AT1G17060,0,0,1,1,1,0,1
AT1G17145,0,0,0,1,0,1,0
AT1G17147,1,1,1,1,1,1,1
AT1G17170,1,1,1,1,1,1,1
AT1G17180,1,0,1,1,1,0,1
AT1G17240,1,1,1,1,1,1,1
AT1G17290,0,0,1,1,1,1,1
AT1G17330,0,0,1,1,1,1,1
AT1G17340,0,0,1,1,0,0,0
AT1G17380,0,1,1,1,1,1,1
AT1G17400,0,0,1,0,0,0,0
AT1G17420,1,1,1,1,1,1,1
AT1G17600,0,0,1,1,1,0,1
AT1G17610,0,1,0,1,0,1,0
AT1G17730,0,0,0,1,1,0,0
AT1G17745,1,0,0,1,1,1,1
AT1G17750,1,1,1,1,1,1,1
AT1G17810,0,0,0,1,0,0,0
AT1G17830,0,0,0,0,1,1,0
AT1G17860,0,0,1,1,1,1,1
AT1G17890,0,0,1,1,0,0,0
AT1G17980,0,0,0,1,0,0,0
AT1G17990,0,1,1,1,1,1,1
AT1G18020,0,1,1,1,1,1,1
AT1G18100,1,0,0,0,0,0,0
AT1G18140,0,0,0,0,0,0,1
AT1G18160,0,0,1,1,0,0,0
AT1G18200,0,0,1,1,0,1,1
AT1G18210,0,0,1,1,1,1,1
AT1G18260,0,0,1,1,0,0,0
AT1G18290,0,0,1,1,1,1,1
AT1G18300,1,1,1,1,1,1,1
AT1G18350,0,1,0,0,0,0,1
AT1G18382,0,0,1,1,1,1,1
AT1G18390,1,1,1,1,1,1,1
AT1G18570,1,1,1,1,1,1,1
AT1G18590,0,0,1,1,1,1,1
AT1G18740,0,1,1,1,1,1,1
AT1G18830,0,0,0,1,0,0,0
AT1G18835,0,0,0,1,0,0,1
AT1G18860,0,0,1,1,0,0,0
AT1G18890,0,1,1,1,1,1,1
AT1G18900,0,0,1,1,1,1,1
AT1G18940,0,0,0,0,0,0,1
AT1G19010,0,0,0,1,0,1,0
AT1G19020,1,1,1,1,1,1,1
AT1G19025,0,0,0,1,0,0,0
AT1G19050,0,0,1,0,0,0,0
AT1G19130,0,0,0,1,1,0,0
AT1G19180,1,1,1,1,1,1,1
AT1G19190,0,0,0,1,1,1,1
AT1G19210,0,0,1,1,0,1,1
AT1G19230,0,0,1,0,0,0,0
AT1G19250,0,0,1,1,1,1,0
AT1G19270,0,1,1,1,1,1,1
AT1G19300,0,0,1,1,1,1,0
AT1G19310,0,0,1,1,1,1,1
AT1G19320,0,1,1,1,1,1,1
AT1G19330,0,1,1,1,1,1,1
AT1G19360,0,0,1,1,1,0,0
AT1G19380,1,1,1,1,1,1,1
AT1G19394,0,0,0,1,1,0,1
AT1G19396,0,0,0,1,0,0,0
AT1G19397,0,0,0,1,0,0,0
AT1G19490,0,0,0,1,0,0,0
AT1G19530,0,0,0,1,0,0,1
AT1G19610,0,0,1,1,1,1,1
AT1G19670,0,0,0,1,1,0,1
AT1G19770,1,1,1,1,1,1,1
AT1G19780,0,0,1,1,0,0,1
AT1G19840,0,0,0,0,0,0,1
AT1G19970,0,1,1,1,1,1,0
AT1G19980,0,0,0,1,0,0,0
AT1G20100,0,0,0,1,0,0,0
AT1G20150,0,0,0,1,0,0,0
AT1G20300,0,1,1,1,1,0,1
AT1G20310,1,1,1,1,1,1,1
AT1G20350,1,0,1,1,1,1,1
AT1G20450,0,0,0,0,0,1,0
AT1G20460,0,0,0,1,1,0,0
AT1G20490,0,0,0,0,0,0,1
AT1G20510,1,1,1,1,1,1,1
AT1G20575,0,0,0,1,0,0,0
AT1G20680,0,0,1,1,1,1,1
AT1G20740,0,0,1,1,0,0,0
AT1G20780,0,0,1,1,1,1,1
AT1G20823,1,1,1,1,1,1,1
AT1G20925,0,0,0,1,0,0,0
AT1G20980,0,0,0,1,0,0,0
AT1G21000,0,0,0,1,1,0,0
AT1G21010,1,1,1,1,1,1,1
AT1G21050,0,0,0,0,1,0,0
AT1G21070,0,0,0,0,0,0,1
AT1G21080,0,0,1,1,1,1,0
AT1G21090,0,0,0,0,0,0,1
AT1G21100,1,1,1,1,1,1,1
AT1G21110,1,1,1,1,1,1,1
AT1G21120,1,1,1,1,1,1,1
AT1G21130,1,1,1,1,1,1,1
AT1G21140,0,0,0,0,0,0,1
AT1G21210,0,0,0,0,0,0,1
AT1G21230,0,0,1,1,0,1,1
AT1G21240,1,1,1,1,1,1,1
AT1G21245,0,1,1,1,1,1,1
AT1G21250,1,1,0,0,1,1,1
AT1G21320,0,0,1,1,1,1,0
AT1G21326,1,1,1,1,1,1,1
AT1G21360,0,0,0,1,0,0,0
AT1G21370,0,0,1,1,1,0,0
AT1G21380,0,0,1,1,0,0,0
AT1G21390,0,0,1,1,1,1,0
AT1G21400,0,0,1,1,1,0,1
AT1G21410,0,0,0,0,0,1,0
AT1G21450,0,0,1,1,1,1,1
AT1G21520,0,1,1,0,1,1,1
AT1G21550,1,1,1,1,1,1,1
AT1G21590,0,0,1,0,1,0,0
AT1G21651,0,0,0,1,0,0,0
AT1G21670,0,0,1,1,0,0,0
AT1G21750,0,1,1,1,1,1,1
AT1G21830,0,0,1,1,0,0,0
AT1G21860,0,0,0,1,0,0,0
AT1G21900,0,0,1,1,1,1,1
AT1G21910,0,0,1,1,1,1,0
AT1G22070,0,1,1,1,1,1,1
AT1G22150,0,0,0,0,1,0,0
AT1G22180,0,0,1,1,1,1,1
AT1G22190,0,0,1,1,1,1,1
AT1G22200,0,0,0,1,0,0,0
AT1G22210,0,0,1,1,0,0,0
AT1G22240,0,0,0,0,1,0,1
AT1G22250,0,0,1,1,1,0,0
AT1G22275,0,0,1,1,0,0,0
AT1G22280,1,1,1,1,1,1,1
AT1G22400,0,1,1,1,1,1,1
AT1G22403,0,0,0,1,1,1,0
AT1G22410,0,0,1,1,1,1,1
AT1G22470,0,0,1,0,1,1,0
AT1G22500,0,0,1,0,0,0,0
AT1G22510,0,1,1,1,1,1,1
AT1G22640,0,0,0,0,1,0,0
AT1G22650,0,1,1,1,1,1,1
AT1G22810,1,1,1,1,1,1,1
AT1G22870,0,0,0,1,0,0,0
AT1G22885,0,0,1,1,1,1,1
AT1G22890,0,0,1,1,1,1,1
AT1G22900,0,0,1,1,1,1,1
AT1G22985,0,0,0,1,0,0,0
AT1G23040,0,0,1,1,0,1,0
AT1G23110,0,0,0,0,0,0,1
AT1G23120,0,0,0,1,1,0,0
AT1G23140,0,0,1,1,0,0,0
AT1G23170,0,0,1,1,0,0,0
AT1G23200,0,0,1,1,1,1,1
